"publisherName","gameName","foundedBy","foundedDate"
"Ubisoft Entertainment SA","Uno","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Uru: Ages Beyond Myst","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Valiant Hearts: The Great War","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Varth: Operation Thunderstorm","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Viewtiful Joe: Double Trouble!","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Viewtiful Joe","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Viewtiful Joe 2","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Deep Down","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Devolver Digital Inc.","Devolver Bootleg","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Ubisoft Entertainment SA","Indiana Jones and the Last Crusade","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Beyond Software","Psytron","http://dbpedia.org/resource/Emap_International_Limited",1983-01-01
"Beyond Software","Shadowfire","http://dbpedia.org/resource/Emap_International_Limited",1983-01-01
"Bethesda Softworks LLC","Wayne Gretzky Hockey 2","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Bethesda Softworks LLC","Wayne Gretzky Hockey 3","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Ubisoft Entertainment SA","187 Ride or Die","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Combat of Giants: Dinosaurs 3D","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Cosmic Family","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Maximo: Ghosts to Glory","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Maximo vs. Army of Zin","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man: Battle & Chase","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man: The Wily Wars","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man 7","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man III","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man II","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man IV","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Battle Network Legacy Collection","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Zero/ZX Legacy Collection","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Legacy Collection 1 & 2","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man X Legacy Collection 1 + 2","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Maverick Hunter X","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Powered Up","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Soccer","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man V","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man X","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Zero","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Mega Man Zero Collection","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","S.C.A.R.S.","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Bethesda Softworks LLC","NIRA Intense Import Drag Racing","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Capcom Co. Ltd.","Nemo","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Might & Magic Heroes VII","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Might and Magic: Heroes Kingdoms","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
